Elo	Username	W	L	T	Last update
NaN	Username	NaN	NaN	NaN	Last update
1106.7394423996702	dogurten	3	3	0	Thu Nov 12 2020 01:25:45 GMT-0500 (Eastern Standard Time)
1094.122244951634	deathbypudding	3	2	0	Thu Nov 12 2020 17:54:12 GMT-0500 (Eastern Standard Time)
1081.9195058658347	Glumpbumpin	2	3	0	Thu Nov 12 2020 17:25:19 GMT-0500 (Eastern Standard Time)
1072.116656665627	Burrahobbit	2	2	0	Thu Nov 12 2020 00:18:12 GMT-0500 (Eastern Standard Time)
1070.3694418807222	Bugsileus	3	3	0	Thu Nov 12 2020 20:29:23 GMT-0500 (Eastern Standard Time)
1061.255637776369	LoneWolf32100	1	1	0	Thu Nov 12 2020 01:25:45 GMT-0500 (Eastern Standard Time)
1056.1009432789278	Hror	1	0	0	Thu Nov 12 2020 20:29:23 GMT-0500 (Eastern Standard Time)
1045	KMDolly	1	1	0	Wed Nov 11 2020 23:55:00 GMT-0500 (Eastern Standard Time)
1034.276390685432	SPACEDUDE360000	1	1	0	Thu Nov 12 2020 00:04:04 GMT-0500 (Eastern Standard Time)
1000	Sultann31	0	1	0	Thu Nov 12 2020 17:54:12 GMT-0500 (Eastern Standard Time)
